stress,anxiety,burnout,loneliness,motivation,emotional_fatigue,sleep,focus,social,neutral,risk
6,10,8,6,3,3,5,5,5,4,Moderate
7,6,3,5,10,10,8,6,9,2,Low
6,4,6,9,8,10,6,3,8,10,Low
10,5,7,3,9,5,9,5,2,6,Low
2,1,1,5,1,5,8,1,6,2,Low
8,9,5,5,1,6,4,2,5,6,High
1,6,2,3,3,3,10,3,8,6,Low
9,2,8,6,9,9,2,8,3,4,Moderate
4,2,9,5,3,9,8,8,10,10,Low
2,10,7,3,6,5,10,1,8,5,Low
8,3,5,7,1,9,6,3,1,6,High
4,6,3,1,5,2,10,3,7,5,Low
5,2,5,2,1,1,9,8,9,9,Low
4,4,9,2,4,4,7,9,10,6,Low
10,2,5,9,9,7,3,10,10,3,Low
5,6,6,7,9,4,6,10,6,5,Low
5,7,3,10,1,5,4,10,10,1,Low
8,3,5,6,7,8,5,7,3,9,Low
1,7,6,3,9,10,7,5,5,9,Low
5,8,10,8,3,10,7,10,4,3,Moderate
8,6,2,5,7,9,9,2,1,3,Moderate
3,4,8,1,8,3,7,7,2,5,Low
4,6,10,1,10,6,3,2,6,6,Low
5,7,5,7,6,7,8,10,3,1,Low
4,8,4,8,1,4,1,3,3,1,High
10,10,7,7,2,7,1,3,3,3,High
5,8,6,10,8,2,2,3,3,7,Moderate
10,3,2,4,2,4,2,4,6,10,Low
5,6,8,8,2,10,10,3,6,4,Moderate
10,7,3,6,1,9,2,5,8,1,High
4,5,10,8,10,8,3,4,10,8,Low
10,9,4,3,2,2,5,6,9,4,Low
9,9,8,3,1,10,3,2,3,5,High
10,3,2,10,5,9,6,7,3,10,Low
1,7,8,6,6,9,9,5,2,1,Moderate
10,3,8,10,10,2,4,8,4,1,Moderate
6,4,9,8,3,3,2,1,5,3,High
5,9,2,9,8,9,8,2,4,7,Moderate
8,9,2,6,7,2,1,3,1,8,Moderate
1,5,2,9,7,6,8,10,8,2,Low
5,1,1,9,2,10,6,7,1,10,Low
5,3,6,3,9,1,10,8,5,6,Low
2,2,4,10,2,8,8,6,9,10,Low
10,4,1,4,4,4,10,2,5,10,Low
9,1,8,6,8,1,7,5,5,10,Low
7,9,10,8,5,5,6,1,10,7,Moderate
5,10,3,1,3,3,6,8,9,3,Low
6,10,6,3,1,5,3,10,1,8,Moderate
4,8,9,4,5,10,10,5,10,2,Low
2,10,8,10,4,8,3,2,6,2,High
2,1,6,3,8,10,5,4,8,2,Low
2,3,2,9,4,9,7,5,7,2,Low
2,4,1,8,8,8,4,5,9,2,Low
10,10,6,8,9,2,5,7,6,6,Low
